id,code,name
en16931_uom_E27,E27,dose
en16931_uom_E28,E28,air dry ton
en16931_uom_E30,E30,strand
en16931_uom_E31,E31,square metre per litre
en16931_uom_E32,E32,litre per hour
en16931_uom_E33,E33,foot per thousand
en16931_uom_E34,E34,gigabyte
en16931_uom_E35,E35,terabyte
en16931_uom_E36,E36,petabyte
en16931_uom_E37,E37,pixel
en16931_uom_E38,E38,megapixel
en16931_uom_E39,E39,dots per inch
en16931_uom_E4,E4,gross kilogram
en16931_uom_E40,E40,part per hundred thousand
en16931_uom_E41,E41,kilogram-force per square millimetre
en16931_uom_E42,E42,kilogram-force per square centimetre
en16931_uom_E43,E43,joule per square centimetre
en16931_uom_E44,E44,kilogram-force metre per square centimetre
en16931_uom_E45,E45,milliohm
en16931_uom_E46,E46,kilowatt hour per cubic metre
en16931_uom_E47,E47,kilowatt hour per kelvin
en16931_uom_E48,E48,service unit
en16931_uom_E49,E49,working day
en16931_uom_E50,E50,accounting unit
en16931_uom_E51,E51,job
en16931_uom_E52,E52,run foot
en16931_uom_E53,E53,test
en16931_uom_E54,E54,trip
en16931_uom_E55,E55,use
en16931_uom_E56,E56,well
en16931_uom_E57,E57,zone
en16931_uom_E58,E58,exabit per second
en16931_uom_E59,E59,exbibyte
en16931_uom_E60,E60,pebibyte
en16931_uom_E61,E61,tebibyte
en16931_uom_E62,E62,gibibyte
en16931_uom_E63,E63,mebibyte
en16931_uom_E64,E64,kibibyte
en16931_uom_E65,E65,exbibit per metre
en16931_uom_E66,E66,exbibit per square metre
en16931_uom_E67,E67,exbibit per cubic metre
en16931_uom_E68,E68,gigabyte per second
en16931_uom_E69,E69,gibibit per metre
en16931_uom_E70,E70,gibibit per square metre
en16931_uom_E71,E71,gibibit per cubic metre
en16931_uom_E72,E72,kibibit per metre
en16931_uom_E73,E73,kibibit per square metre
en16931_uom_E74,E74,kibibit per cubic metre
en16931_uom_E75,E75,mebibit per metre
en16931_uom_E76,E76,mebibit per square metre
en16931_uom_E77,E77,mebibit per cubic metre
en16931_uom_E78,E78,petabit
en16931_uom_E79,E79,petabit per second
en16931_uom_E80,E80,pebibit per metre
en16931_uom_E81,E81,pebibit per square metre
en16931_uom_E82,E82,pebibit per cubic metre
en16931_uom_E83,E83,terabit
en16931_uom_E84,E84,terabit per second
en16931_uom_E85,E85,tebibit per metre
en16931_uom_E86,E86,tebibit per cubic metre
en16931_uom_E87,E87,tebibit per square metre
en16931_uom_E88,E88,bit per metre
en16931_uom_E89,E89,bit per square metre
en16931_uom_E90,E90,reciprocal centimetre
en16931_uom_E91,E91,reciprocal day
en16931_uom_E92,E92,cubic decimetre per hour
en16931_uom_E93,E93,kilogram per hour
en16931_uom_E94,E94,kilomole per second
en16931_uom_E95,E95,mole per second
en16931_uom_E96,E96,degree per second
en16931_uom_E97,E97,millimetre per degree Celcius metre
en16931_uom_E98,E98,degree Celsius per kelvin
en16931_uom_E99,E99,hectopascal per bar
en16931_uom_EA,EA,each
en16931_uom_EB,EB,electronic mail box
en16931_uom_EQ,EQ,equivalent gallon
en16931_uom_F01,F01,bit per cubic metre
en16931_uom_F02,F02,kelvin per kelvin
en16931_uom_F03,F03,kilopascal per bar
en16931_uom_F04,F04,millibar per bar
en16931_uom_F05,F05,megapascal per bar
en16931_uom_F06,F06,poise per bar
en16931_uom_F07,F07,pascal per bar
en16931_uom_F08,F08,milliampere per inch
en16931_uom_F10,F10,kelvin per hour
en16931_uom_F11,F11,kelvin per minute
en16931_uom_F12,F12,kelvin per second
en16931_uom_F13,F13,slug
en16931_uom_F14,F14,gram per kelvin
en16931_uom_F15,F15,kilogram per kelvin
en16931_uom_F16,F16,milligram per kelvin
en16931_uom_F17,F17,pound-force per foot
en16931_uom_F18,F18,kilogram square centimetre
en16931_uom_F19,F19,kilogram square millimetre
en16931_uom_F20,F20,pound inch squared
en16931_uom_F21,F21,pound-force inch
en16931_uom_F22,F22,pound-force foot per ampere
en16931_uom_F23,F23,gram per cubic decimetre
en16931_uom_F24,F24,kilogram per kilomol
en16931_uom_F25,F25,gram per hertz
en16931_uom_F26,F26,gram per day
en16931_uom_F27,F27,gram per hour
en16931_uom_F28,F28,gram per minute
en16931_uom_F29,F29,gram per second
en16931_uom_F30,F30,kilogram per day
en16931_uom_F31,F31,kilogram per minute
en16931_uom_F32,F32,milligram per day
en16931_uom_F33,F33,milligram per minute
en16931_uom_F34,F34,milligram per second
en16931_uom_F35,F35,gram per day kelvin
en16931_uom_F36,F36,gram per hour kelvin
en16931_uom_F37,F37,gram per minute kelvin
en16931_uom_F38,F38,gram per second kelvin
en16931_uom_F39,F39,kilogram per day kelvin
en16931_uom_F40,F40,kilogram per hour kelvin
en16931_uom_F41,F41,kilogram per minute kelvin
en16931_uom_F42,F42,kilogram per second kelvin
en16931_uom_F43,F43,milligram per day kelvin
en16931_uom_F44,F44,milligram per hour kelvin
en16931_uom_F45,F45,milligram per minute kelvin
en16931_uom_F46,F46,milligram per second kelvin
en16931_uom_F47,F47,newton per millimetre
en16931_uom_F48,F48,pound-force per inch
en16931_uom_F49,F49,rod [unit of distance]
en16931_uom_F50,F50,micrometre per kelvin
en16931_uom_F51,F51,centimetre per kelvin
en16931_uom_F52,F52,metre per kelvin
en16931_uom_F53,F53,millimetre per kelvin
en16931_uom_F54,F54,milliohm per metre
en16931_uom_F55,F55,ohm per mile (statute mile)
en16931_uom_F56,F56,ohm per kilometre
en16931_uom_F57,F57,milliampere per pound-force per square inch
en16931_uom_F58,F58,reciprocal bar
en16931_uom_F59,F59,milliampere per bar
en16931_uom_F60,F60,degree Celsius per bar
en16931_uom_F61,F61,kelvin per bar
en16931_uom_F62,F62,gram per day bar
en16931_uom_F63,F63,gram per hour bar
